id	platform_name	slug	operator_name	operator_country	region_group	platform_model	merchant_of_record	mor_scope	japanese_ui	japanese_listing_allowed	listing_languages	seller_regions	japan_resident_signup	overseas_japanese_signup	individual_seller	business_required	identity_verification	tax_handling	buyer_invoice_receipt	product_pdf_ebook	product_templates	product_images_design	product_audio	product_video	product_course	product_software	product_saas	product_game_assets	product_membership	product_commission_service	one_time_sale	subscription_sale	pay_what_you_want	license_key_support	automatic_file_delivery	file_limit_note	marketplace_discovery	custom_storefront	custom_domain	embed_checkout	affiliate_program_for_sellers	coupon_discount	buyer_card_payment	buyer_paypal_payment	buyer_other_payments	seller_bank_payout	seller_paypal_payout	seller_payoneer_payout	payout_currencies	minimum_payout	payout_schedule	fee_summary	monthly_cost	recommended_products	recommended_seller_stage	main_advantage	main_caveat	official_url	source_products_url	source_pricing_url	source_payout_url	source_tax_mor_url	confidence	change_risk	last_verified_date	notes
11	ココナラ	coconala	株式会社ココナラ	日本	国内	受託・スキルマーケット	No	販売者が法的販売者・税務主体	Yes	Yes	日本語	日本中心	Yes	Conditional	Yes	No	本人確認・振込口座・カテゴリ別認証	出品者責任・プラットフォームが決済精算	プラットフォームの購入明細・領収メール	false	true	true	true	true	true	false	false	false	false	true	Yes	No	No	No	No	商品・プラン別。公式確認	Strong	No	No	No	No	Yes	Yes	Conditional	カード、ポイント、コンビニ等	Yes	No	No	JPY	公式確認	公式確認	販売総額に対するサービス手数料。カテゴリ別確認	無料開始またはプラン制	相談、デザイン、文章、占い、制作代行、カスタム納品	初心者〜小規模	購入前相談とエスクロー型取引で直接PayPalより安心感が高い	完成済みファイルの無人販売より個別対応・納期管理向き	https://coconala.com/	https://coconala.com/pages/guide_sell	https://coconala.com/pages/guide_sell	https://coconala-support.zendesk.com/hc/ja	https://coconala.com/pages/terms	Medium	High	2026-08-14	
12	SKIMA	skima	株式会社ビジュアルワークス	日本	国内	受託・クリエイターマーケット	No	販売者が法的販売者・税務主体	Yes	Yes	日本語	日本中心	Yes	Conditional	Yes	No	本人・振込先情報	出品者責任・プラットフォーム精算	プラットフォームの購入明細・領収メール	false	false	true	true	false	false	false	false	false	false	true	Yes	No	No	No	No	商品・プラン別。公式確認	Strong	No	No	No	No	Yes	Yes	Conditional	カード、コンビニ等	Yes	No	No	JPY	公式確認	公式確認	取引価格帯に応じた販売手数料	無料開始またはプラン制	イラスト、キャラクター、デザイン、文章、個別制作	初心者〜小規模	制作依頼の発注・納品・評価をプラットフォーム上で完結	在庫型デジタル商品よりコミッション向き	https://skima.jp/	https://skima.jp/guide/sell	https://skima.jp/guide/fee	https://skima.jp/guide/sell	https://skima.jp/rule	Medium	High	2026-08-14	
13	Gumroad	gumroad	Gumroad, Inc.	アメリカ	海外	マーケットプレイス・MoRストア	Yes	カード販売の法的販売者として間接税・決済・返金基盤を処理。PayPal Connectは販売者責任部分あり	No	Yes	多言語・日本語出品可	世界各国・対応国制限あり	Yes	Conditional	Yes	No	売上・地域に応じて本人確認/KYC	GumroadがMoRとして対象売上税を処理。PayPal Connectの紛争は販売者対応	Gumroad購入明細	true	true	true	true	true	true	true	true	true	true	false	Yes	Yes	Yes	Yes	Yes	商品・プラン別。公式確認	Medium	Limited	No	Yes	Yes	Yes	Yes	Conditional	地域・サービス別	Yes	Conditional	No	現地銀行通貨またはPayPalはUSD	通常100 USD相当。地域差あり	日次・週次・月次・四半期を選択可。最低7日保留	直販10%+$0.50に決済処理費、Discover販売30%（2026-08確認）	月額なし	PDF、テンプレート、動画、ソフト、会員権	初心者〜小規模	商品登録が簡単でMoRとファイル配布を利用できる	手数料が高め。日本の販売者はPayPal Connect非対応と公式記載	https://gumroad.com/	https://gumroad.com/help/article/64-is-gumroad-for-me	https://gumroad.com/help/article/66-gumroads-fees.html	https://gumroad.com/help/article/13-getting-paid.html	https://gumroad.com/help/article/10-dealing-with-vat	High	High	2026-08-14	
14	Payhip	payhip	Payhip Ltd	イギリス	海外	ストア作成	Partial	EU/UK VAT等の自動処理機能を提供するが、接続決済と販売者責任範囲を確認	No	Yes	多言語	世界各国・対応国制限あり	Yes	Conditional	Yes	No	売上・地域に応じて本人確認/KYC	EU/UK VAT支援。その他税務は販売者確認	プラットフォームの購入明細・領収メール	true	true	true	true	true	true	true	false	false	true	false	Yes	Yes	Yes	Yes	Yes	商品・プラン別。公式確認	Weak	Yes	Yes	Yes	Yes	Yes	Yes	Yes	地域・サービス別	Conditional	Yes	No	接続したStripe/PayPalに依存	接続決済事業者に依存	売上は接続Stripe/PayPalへ処理	無料5%、Plus 2%、Pro 0%の取引手数料＋決済費用	無料／Plus／Pro	電子書籍、テンプレート、講座、会員制、ソフト	初心者〜小規模	低コストで独自ストア・ファイル配布・講座をまとめられる	StripeまたはPayPal接続が基本で、完全なMoRとして扱う前に税務範囲確認	https://payhip.com/	https://help.payhip.com/article/132-how-payhip-works	https://payhip.com/pricing	https://help.payhip.com/category/51-getting-paid	https://help.payhip.com/article/69-eu-vat	Medium	High	2026-08-14	
15	Lemon Squeezy	lemon-squeezy	Lemon Squeezy / Stripe	アメリカ	海外	MoR決済・ストア	Yes	売上税/VAT、PCI、返金、チャージバック、コンプライアンスをMoRとして処理	No	Yes	多言語	世界各国・対応国制限あり	Yes	Conditional	Yes	No	売上・地域に応じて本人確認/KYC	Lemon Squeezyが世界の対象間接税を徴収・申告	プラットフォームの購入明細・領収メール	true	true	true	true	true	true	true	true	false	true	false	Yes	Yes	Yes	Yes	Yes	商品・プラン別。公式確認	Weak	Yes	Yes	Yes	Yes	Yes	Yes	Yes	カード・地域別最適化決済	Yes	Yes	No	USD等・200超の国を案内	公式支払設定確認	月2回の自動支払を案内	基本5%+$0.50、国際・PayPal・サブスク等加算あり。公式確認	月額なしの取引課金中心	SaaS、ソフトウェア、ライセンス、テンプレート、デジタル商品	個人開発者〜事業者	海外税務と決済責任をMoRへ移し、自サイトにチェックアウトを載せられる	ストア審査・禁止商品・追加手数料があり、純粋な集客市場ではない	https://www.lemonsqueezy.com/	https://docs.lemonsqueezy.com/help/products	https://www.lemonsqueezy.com/pricing	https://docs.lemonsqueezy.com/help/getting-started/getting-paid	https://docs.lemonsqueezy.com/help/payments/merchant-of-record	High	High	2026-08-14	
16	Paddle	paddle	Paddle.com	イギリス	海外	MoR決済・SaaS課金	Yes	決済、VAT/GST/売上税、請求書、不正対策、コンプライアンスを処理	No	Yes	多言語	世界各国・対応国制限あり	Yes	Conditional	Yes	No	売上・地域に応じて本人確認/KYC	Paddleが100超の法域で対象間接税を処理	プラットフォームの購入明細・領収メール	true	true	false	false	false	true	true	true	false	true	false	Yes	Yes	No	API	Conditional	配布はWebhook等で販売者実装が基本	None	No	No	Yes	Conditional	Yes	Yes	Yes	カード・地域別決済	Yes	Conditional	No	対応支払通貨	公式確認	月次精算を基本に公式確認	通常5%+$0.50を案内。個別契約あり	月額なしの取引課金中心	SaaS、ソフトウェア、プラグイン、ライセンス、講座	個人開発者〜企業	SaaSの税務・請求・サブスク・不正対策を一体化	単純PDF販売には実装が重く、審査対象商品もソフトウェア中心	https://www.paddle.com/	https://developer.paddle.com/get-started/how-paddle-works/digital-products/	https://www.paddle.com/pricing	https://www.paddle.com/help/manage/get-paid	https://www.paddle.com/help/sell/tax/how-paddle-handles-vat-on-your-behalf	High	High	2026-08-14	
17	FastSpring	fastspring	Bright Market, LLC	アメリカ	海外	MoR決済・SaaS課金	Yes	グローバル決済、税、コンプライアンス、チャージバックをMoR処理	No	Yes	多言語	世界各国・対応国制限あり	Yes	Conditional	Yes	No	売上・地域に応じて本人確認/KYC	FastSpringが対象間接税を徴収・納付	プラットフォームの購入明細・領収メール	false	false	false	false	false	true	true	true	false	true	false	Yes	Yes	No	Yes	Conditional	商品・プラン別。公式確認	None	No	No	Yes	Yes	Yes	Yes	Yes	地域・サービス別	Yes	Yes	No	契約・地域別	公式確認	公式確認	公開一律価格ではなく契約・見積要素。公式確認	契約による	SaaS、ソフトウェア、ゲーム、デジタルサービス	成長事業者〜企業	長年のMoR運用とグローバル決済	小規模な単品PDF販売には営業・契約が重い可能性	https://fastspring.com/	https://fastspring.com/solutions/	https://fastspring.com/pricing/	https://developer.fastspring.com/docs/payouts	https://fastspring.com/merchant-of-record/	Medium	High	2026-08-14	
18	Ko-fi	ko-fi	Ko-fi Labs Limited	イギリス	海外	支援・ショップ・会員制	No	販売者が法的販売者・税務主体	No	Yes	多言語	世界各国・対応国制限あり	Yes	Conditional	Yes	No	売上・地域に応じて本人確認/KYC	販売者責任。決済は接続Stripe/PayPal	プラットフォームの購入明細・領収メール	true	true	true	true	true	true	false	false	false	true	true	Yes	Yes	Yes	No	Yes	商品・プラン別。公式確認	Weak	Limited	No	Yes	No	Yes	Yes	Yes	地域・サービス別	Conditional	Yes	No	Stripe/PayPal依存	直接決済のため接続先依存	Stripe/PayPalへ直接	機能・プランにより0〜5%程度＋決済費用。公式確認	無料／Ko-fi Gold	小額支援、コミッション、PDF、素材、会員限定コンテンツ	初心者〜小規模	ファン支援と商品・依頼販売を一つのプロフィールに統合	MoRではなく税務・返金・決済アカウント責任は販売者側	https://ko-fi.com/	https://help.ko-fi.com/hc/en-us	https://ko-fi.com/about	https://help.ko-fi.com/hc/en-us/articles/115004002474	https://help.ko-fi.com/hc/en-us/articles/360004226034	Medium	High	2026-08-14	
19	Buy Me a Coffee	buy-me-a-coffee	Publisherr Inc.	アメリカ	海外	支援・ショップ・会員制	No	販売者が法的販売者・税務主体	No	Yes	多言語	世界各国・対応国制限あり	Yes	Conditional	Yes	No	売上・地域に応じて本人確認/KYC	販売者責任・プラットフォーム決済	プラットフォームの購入明細・領収メール	true	true	true	true	true	false	false	false	false	true	true	Yes	Yes	Yes	No	Yes	商品・プラン別。公式確認	Weak	Limited	No	No	No	Yes	Yes	No	カード、Apple Pay、Google Pay等	Yes	No	No	Stripe対応銀行地域	公式確認	公式確認	プラットフォーム5%＋決済費用を基本。公式確認	月額なし	支援、会員制、小規模デジタル商品、制作依頼	初心者〜小規模	購入者が会員登録せず支援しやすい	PayPalではなくStripe系受取が中心。MoRではない	https://www.buymeacoffee.com/	https://help.buymeacoffee.com/en/	https://www.buymeacoffee.com/pricing	https://help.buymeacoffee.com/en/collections/2279033-payments-payouts	https://help.buymeacoffee.com/en/	Medium	High	2026-08-14	
20	Patreon	patreon	Patreon, Inc.	アメリカ	海外	月額会員・デジタルショップ	Partial	一部地域の税徴収を処理するがクリエイター税務全般のMoRとは区別	Partial	Yes	多言語・日本語可	世界各国・対応国制限あり	Yes	Conditional	Yes	No	売上・地域に応じて本人確認/KYC	Patreonが対象購入税を徴収する地域あり。所得税は販売者責任	プラットフォームの購入明細・領収メール	true	true	true	true	true	true	false	false	false	true	false	Yes	Yes	Conditional	No	Yes	商品・プラン別。公式確認	Medium	Limited	No	No	No	Yes	Yes	Yes	地域・サービス別	Yes	Yes	Yes	地域・受取方法別	受取方法別	手動・自動出金、保留あり	新規クリエイターは標準プラットフォーム料＋決済・出金費用。最新公式確認	月額固定なし	継続コンテンツ、コミュニティ、動画・音声・制作過程	初心者〜小規模	世界的に認知された会員制プラットフォーム	買い切りファイルより継続提供が前提。料金体系変更リスク	https://www.patreon.com/	https://support.patreon.com/hc/en-us	https://www.patreon.com/pricing	https://support.patreon.com/hc/en-us/categories/360001921332	https://support.patreon.com/hc/en-us/articles/360043054911	Medium	High	2026-08-14	
21	Whop	whop	Whop, Inc.	アメリカ	海外	マーケットプレイス・会員・ソフト販売	Partial	Whop Payments利用時の税・決済支援範囲を契約確認	No	Yes	多言語	世界各国・対応国制限あり	Yes	Conditional	Yes	No	売上・地域に応じて本人確認/KYC	Whop Paymentsの税機能と販売者責任を地域別確認	プラットフォームの購入明細・領収メール	true	true	false	false	false	true	true	true	false	true	false	Yes	Yes	No	Yes	Yes	商品・プラン別。公式確認	Strong	Limited	No	Yes	Yes	Yes	Yes	Conditional	地域・サービス別	Yes	Conditional	Conditional	契約・地域別	公式確認	公式確認	決済・プラットフォーム・マーケットプレイス手数料。地域と販売経路別	無料開始中心	Discordコミュニティ、ソフト、AIツール、会員権、講座	初心者〜小規模	アクセス権・コミュニティ・ソフト配布・紹介販売を統合	高リスク商材カテゴリも混在し、ブランド印象と審査を確認	https://whop.com/	https://docs.whop.com/	https://whop.com/pricing	https://help.whop.com/en/collections/3761460-payments	https://help.whop.com/en/	Medium	High	2026-08-14	
22	itch.io	itch-io	itch corp.	アメリカ	海外	ゲーム・素材マーケットプレイス	Partial	Collected payments方式とDirect to you方式で決済・税務責任が異なる	No	Yes	多言語	世界各国・対応国制限あり	Yes	Conditional	Yes	No	売上・地域に応じて本人確認/KYC	支払方式によりitch.ioが税処理する範囲と販売者責任が変化	プラットフォームの購入明細・領収メール	true	true	true	true	true	false	true	false	true	false	false	Yes	No	Yes	No	Yes	商品・プラン別。公式確認	Strong	Limited	No	No	No	Yes	Yes	Yes	地域・サービス別	Conditional	Yes	Yes	USD中心	支払モード別	申請・保留期間あり	Open Revenue Sharingでプラットフォーム率を設定可能＋決済費用	無料	インディーゲーム、ゲーム素材、サウンド、開発ツール	初心者〜小規模	ゲーム購入者への発見性と柔軟な価格設定	決済モードで税務・返金・出金責任が変わる	https://itch.io/	https://itch.io/docs/creators/	https://itch.io/docs/creators/payments	https://itch.io/docs/creators/payments	https://itch.io/docs/creators/payments	Medium	High	2026-08-14	
23	Etsy	etsy	Etsy, Inc.	アメリカ	海外	クリエイティブ商品マーケットプレイス	Partial	Marketplace facilitatorとして一部売上税/VATを徴収。販売者責任も残る	Partial	Yes	多言語	世界各国・対応国制限あり	Yes	Conditional	Yes	No	売上・地域に応じて本人確認/KYC	対象国でEtsyが購入税を徴収・納付。所得税等は販売者責任	プラットフォームの購入明細・領収メール	true	true	true	true	false	false	false	false	false	false	false	Yes	No	No	No	Yes	デジタル商品はファイル数・容量制限あり。公式確認	Strong	Limited	No	No	No	Yes	Yes	Conditional	地域・サービス別	Yes	No	No	Etsy Payments対応通貨	国・通貨別	日次〜月次を設定、保留の場合あり	出品料、取引手数料、決済手数料、広告費等	基本月額なし・任意プラン	印刷用PDF、Canvaテンプレート、招待状、デザイン素材	初心者〜小規模	検索購入意図がある巨大マーケット	競争・模倣・広告費・出品規則、Etsy Payments対応国に注意	https://www.etsy.com/sell	https://help.etsy.com/hc/en-us/articles/115015628347	https://www.etsy.com/legal/fees/	https://help.etsy.com/hc/en-us/sections/360003451454	https://help.etsy.com/hc/en-us/sections/360000066968	Medium	High	2026-08-14	
24	Creative Market	creative-market	Creative Market Labs, Inc.	アメリカ	海外	デザイン素材マーケットプレイス	No	販売者が法的販売者・税務主体	No	Yes	多言語	世界各国・対応国制限あり	Yes	Conditional	Yes	No	売上・地域に応じて本人確認/KYC	プラットフォームが対象購入税を処理する場合あり。販売者所得税は自己責任	プラットフォームの購入明細・領収メール	false	true	true	false	false	false	false	false	true	false	false	Yes	No	No	No	Yes	商品・プラン別。公式確認	Strong	No	No	No	No	Yes	Yes	Conditional	地域・サービス別	Yes	Yes	Yes	USD中心	受取方法別	月次申請・公式確認	販売価格からプラットフォーム取り分。ショップ条件で差異	出品側は契約条件	フォント、プレゼン、Webテンプレート、画像、グラフィック	初心者〜小規模	デザイン購入者に直接届く専門市場	ショップ開設審査と品質基準、ライセンス条件が厳格	https://creativemarket.com/sell	https://support.creativemarket.com/hc/en-us/categories/200085900	https://support.creativemarket.com/hc/en-us/articles/201193044	https://support.creativemarket.com/hc/en-us/sections/200381760	https://support.creativemarket.com/hc/en-us	Medium	High	2026-08-14	
25	Envato Market	envato-market	Envato Pty Ltd	オーストラリア	海外	デジタル素材マーケットプレイス	No	販売者が法的販売者・税務主体	No	Yes	多言語	世界各国・対応国制限あり	Yes	Conditional	Yes	No	売上・地域に応じて本人確認/KYC	対象税をプラットフォームが処理する範囲あり。著者税務は自己責任	プラットフォームの購入明細・領収メール	false	true	true	true	true	false	true	false	true	false	false	Yes	No	No	Conditional	Yes	商品・プラン別。公式確認	Strong	No	No	No	No	Yes	Yes	Yes	地域・サービス別	Yes	Yes	Yes	USD中心	出金手段別	月次	著者手数料は独占・非独占や売上等で変動	出品固定費なし中心	WordPressテーマ、コード、動画素材、音楽、グラフィック	専門制作者〜事業者	専門カテゴリで大きな既存購入者市場	審査・サポート義務・競争が強く、AI生成物ポリシー確認が必要	https://author.envato.com/	https://help.author.envato.com/hc/en-us	https://help.author.envato.com/hc/en-us/articles/360000471923	https://help.author.envato.com/hc/en-us/categories/360000020046	https://help.author.envato.com/hc/en-us/categories/360000020026	Medium	High	2026-08-14	
26	Udemy	udemy	Udemy, Inc.	アメリカ	海外	オンライン講座マーケットプレイス	Partial	受講者決済・返金・対象間接税をプラットフォームが処理。講師所得税は自己責任	Yes	Yes	多言語・日本語可	世界各国・対応国制限あり	Yes	Conditional	Yes	No	売上・地域に応じて本人確認/KYC	Udemyが受講者側の対象間接税を処理、講師の所得税申告は自己責任	プラットフォームの購入明細・領収メール	false	false	false	false	true	true	false	false	false	false	false	Yes	Conditional	No	No	Yes	商品・プラン別。公式確認	Strong	No	No	No	Conditional	Yes	Yes	Conditional	地域・サービス別	Conditional	Yes	Yes	地域・方法別	受取方法別	返金期間後の月次支払	講師自身のクーポン販売とUdemy集客販売で収益分配率が大きく異なる	講師登録無料	体系化した動画講座、試験対策、ソフト操作、プログラミング	初心者〜小規模	日本語UIと世界規模の講座マーケット	価格決定・値引き・顧客関係の自由度が低い	https://www.udemy.com/teaching/	https://support.udemy.com/hc/ja/categories/204121267	https://support.udemy.com/hc/ja/articles/229605008	https://support.udemy.com/hc/ja/articles/229604008	https://support.udemy.com/hc/ja/sections/360001154093	Medium	High	2026-08-14	
